#Time [s];Angle [°];Force [N]
0,12931;7,1;16862
0,25862;7,2;16626
0,38793;7,3;16395
0,51724;7,4;16171
0,64655;7,5;15953
0,77586;7,6;15741
0,90517;7,7;15534
1,03448;7,8;15333
1,16379;7,9;15136
1,2931;8;14944
1,42241;8,1;14757
1,55172;8,2;14575
1,68103;8,3;14397
1,81034;8,4;14223
1,93965;8,5;14053
2,06896;8,6;13888
2,19827;8,7;13726
2,32758;8,8;13567
2,45689;8,9;13412
2,5862;9;13261
2,71551;9,1;13113
2,84482;9,2;12968
2,97413;9,3;12826
3,10344;9,4;12687
3,23275;9,5;12551
3,36206;9,6;12418
3,49137;9,7;12287
3,62068;9,8;12159
3,74999;9,9;12034
3,8793;10;11911
4,00861;10,1;11791
4,13792;10,2;11673
4,26723;10,3;11557
4,39654;10,4;11444
4,52585;10,5;11332
4,65516;10,6;11223
4,78447;10,7;11116
4,91378;10,8;11010
5,04309;10,9;10907
5,1724;11;10805
5,30171;11,1;10705
5,43102;11,2;10607
5,56033;11,3;10511
5,68964;11,4;10416
5,81895;11,5;10323
5,94826;11,6;10232
6,07757;11,7;10142
6,20688;11,8;10054
6,33619;11,9;9967
6,4655;12;9881
6,59481;12,1;9797
6,72412;12,2;9714
6,85343;12,3;9633
6,98274;12,4;9553
7,11205;12,5;9474
7,24136;12,6;9396
7,37067;12,7;9320
7,49998;12,8;9245
7,62929;12,9;9170
7,7586;13;9097
7,88791;13,1;9026
8,01722;13,2;8955
8,14653;13,3;8885
8,27584;13,4;8816
8,40515;13,5;8748
8,53446;13,6;8682
8,66377;13,7;8616
8,79308;13,8;8551
8,92239;13,9;8487
9,0517;14;8424
9,18101;14,1;8362
9,31032;14,2;8300
9,43963;14,3;8240
9,56894;14,4;8180
9,69825;14,5;8121
9,82756;14,6;8063
9,95687;14,7;8006
10,08618;14,8;7949
10,21549;14,9;7894
10,3448;15;7838
10,47411;15,1;7784
10,60342;15,2;7730
10,73273;15,3;7677
10,86204;15,4;7625
10,99135;15,5;7573
11,12066;15,6;7522
11,24997;15,7;7472
11,37928;15,8;7422
11,50859;15,9;7373
11,6379;16;7325
11,76721;16,1;7277
11,89652;16,2;7229
12,02583;16,3;7182
12,15514;16,4;7136
12,28445;16,5;7090
12,41376;16,6;7045
12,54307;16,7;7001
12,67238;16,8;6957
12,80169;16,9;6913
12,931;17;6870
13,06031;17,1;6827
13,18962;17,2;6785
13,31893;17,3;6743
13,44824;17,4;6702
13,57755;17,5;6661
13,70686;17,6;6621
13,83617;17,7;6581
13,96548;17,8;6542
14,09479;17,9;6503
14,2241;18;6464
14,35341;18,1;6426
14,48272;18,2;6388
14,61203;18,3;6351
14,74134;18,4;6314
14,87065;18,5;6277
14,99996;18,6;6241
15,12927;18,7;6205
15,25858;18,8;6170
15,38789;18,9;6134
15,5172;19;6100
15,64651;19,1;6065
15,77582;19,2;6031
15,90513;19,3;5998
16,03444;19,4;5964
16,16375;19,5;5931
16,29306;19,6;5898
16,42237;19,7;5866
16,55168;19,8;5834
16,68099;19,9;5802
