#Time [s];Angle [°];Force [N]
0,110701;5,7;25560
0,221402;5,8;25161
0,332103;5,9;24773
0,442804;6;24396
0,553505;6,1;24029
0,664206;6,2;23673
0,774907;6,3;23327
0,885608;6,4;22990
0,996309;6,5;22663
1,10701;6,6;22344
1,217711;6,7;22033
1,328412;6,8;21730
1,439113;6,9;21436
1,549814;7;21148
1,660515;7,1;20868
1,771216;7,2;20595
1,881917;7,3;20329
1,992618;7,4;20069
2,103319;7,5;19815
2,21402;7,6;19568
2,324721;7,7;19326
2,435422;7,8;19090
2,546123;7,9;18859
2,656824;8;18633
2,767525;8,1;18413
2,878226;8,2;18198
2,988927;8,3;17987
3,099628;8,4;17781
3,210329;8,5;17579
3,32103;8,6;17382
3,431731;8,7;17188
3,542432;8,8;16999
3,653133;8,9;16814
3,763834;9;16632
3,874535;9,1;16455
3,985236;9,2;16281
4,095937;9,3;16110
4,206638;9,4;15943
4,317339;9,5;15779
4,42804;9,6;15618
4,538741;9,7;15460
4,649442;9,8;15305
4,760143;9,9;15153
4,870844;10;15004
4,981545;10,1;14858
5,092246;10,2;14715
5,202947;10,3;14574
5,313648;10,4;14435
5,424349;10,5;14299
5,53505;10,6;14166
5,645751;10,7;14035
5,756452;10,8;13906
5,867153;10,9;13779
5,977854;11;13655
6,088555;11,1;13532
6,199256;11,2;13412
6,309957;11,3;13294
6,420658;11,4;13177
6,531359;11,5;13063
6,64206;11,6;12950
6,752761;11,7;12840
6,863462;11,8;12731
6,974163;11,9;12623
7,084864;12;12518
7,195565;12,1;12414
7,306266;12,2;12312
7,416967;12,3;12211
7,527668;12,4;12112
7,638369;12,5;12014
7,74907;12,6;11918
7,859771;12,7;11823
7,970472;12,8;11730
8,081173;12,9;11638
8,191874;13;11547
8,302575;13,1;11458
8,413276;13,2;11370
8,523977;13,3;11283
8,634678;13,4;11198
8,745379;13,5;11113
8,85608;13,6;11030
8,966781;13,7;10948
9,077482;13,8;10867
9,188183;13,9;10788
9,298884;14;10709
9,409585;14,1;10631
9,520286;14,2;10555
9,630987;14,3;10479
9,741688;14,4;10405
9,852389;14,5;10331
9,96309;14,6;10258
10,073791;14,7;10187
10,184492;14,8;10116
10,295193;14,9;10046
10,405894;15;9977
10,516595;15,1;9909
10,627296;15,2;9842
10,737997;15,3;9775
10,848698;15,4;9710
10,959399;15,5;9645
11,0701;15,6;9581
11,180801;15,7;9518
11,291502;15,8;9455
11,402203;15,9;9394
11,512904;16;9333
11,623605;16,1;9272
11,734306;16,2;9213
11,845007;16,3;9154
11,955708;16,4;9096
12,066409;16,5;9038
12,17711;16,6;8982
12,287811;16,7;8925
12,398512;16,8;8870
12,509213;16,9;8815
12,619914;17;8761
12,730615;17,1;8707
12,841316;17,2;8654
12,952017;17,3;8601
13,062718;17,4;8549
13,173419;17,5;8498
13,28412;17,6;8447
13,394821;17,7;8397
13,505522;17,8;8347
13,616223;17,9;8298
13,726924;18;8249
13,837625;18,1;8201
13,948326;18,2;8153
14,059027;18,3;8106
14,169728;18,4;8059
14,280429;18,5;8013
14,39113;18,6;7967
14,501831;18,7;7922
14,612532;18,8;7877
14,723233;18,9;7833
14,833934;19;7789
14,944635;19,1;7745
15,055336;19,2;7702
15,166037;19,3;7660
15,276738;19,4;7617
15,387439;19,5;7575
15,49814;19,6;7534
15,608841;19,7;7493
15,719542;19,8;7452
15,830243;19,9;7412
15,940944;20;7372
16,051645;20,1;7333
16,162346;20,2;7294
16,273047;20,3;7255
16,383748;20,4;7216
16,494449;20,5;7178
16,60515;20,6;7141
16,715851;20,7;7103
16,826552;20,8;7066
16,937253;20,9;7030
17,047954;21;6993
17,158655;21,1;6957
17,269356;21,2;6922
17,380057;21,3;6886
17,490758;21,4;6851
17,601459;21,5;6816
17,71216;21,6;6782
17,822861;21,7;6748
17,933562;21,8;6714
18,044263;21,9;6680
18,154964;22;6647
18,265665;22,1;6614
18,376366;22,2;6581
18,487067;22,3;6549
18,597768;22,4;6516
18,708469;22,5;6485
18,81917;22,6;6453
18,929871;22,7;6421
19,040572;22,8;6390
19,151273;22,9;6359
19,261974;23;6329
19,372675;23,1;6298
19,483376;23,2;6268
19,594077;23,3;6238
19,704778;23,4;6209
19,815479;23,5;6179
19,92618;23,6;6150
20,036881;23,7;6121
20,147582;23,8;6092
20,258283;23,9;6064
20,368984;24;6036
20,479685;24,1;6007
20,590386;24,2;5980
20,701087;24,3;5952
20,811788;24,4;5925
20,922489;24,5;5897
21,03319;24,6;5870
21,143891;24,7;5843
21,254592;24,8;5817
21,365293;24,9;5790
21,475994;25;5764
21,586695;25,1;5738
21,697396;25,2;5712
21,808097;25,3;5687
21,918798;25,4;5661
22,029499;25,5;5636
22,1402;25,6;5611
22,250901;25,7;5586
22,361602;25,8;5561
22,472303;25,9;5537
22,583004;26;5512
22,693705;26,1;5488
22,804406;26,2;5464
22,915107;26,3;5440
23,025808;26,4;5416
23,136509;26,5;5393
23,24721;26,6;5369
23,357911;26,7;5346
23,468612;26,8;5323
23,579313;26,9;5300
23,690014;27;5278
23,800715;27,1;5255
23,911416;27,2;5233
24,022117;27,3;5210
24,132818;27,4;5188
24,243519;27,5;5166
24,35422;27,6;5144
24,464921;27,7;5123
24,575622;27,8;5101
24,686323;27,9;5080
24,797024;28;5058
24,907725;28,1;5037
25,018426;28,2;5016
25,129127;28,3;4995
25,239828;28,4;4975
25,350529;28,5;4954
25,46123;28,6;4933
25,571931;28,7;4913
25,682632;28,8;4893
25,793333;28,9;4873
25,904034;29;4853
26,014735;29,1;4833
26,125436;29,2;4813
26,236137;29,3;4794
26,346838;29,4;4774
26,457539;29,5;4755
26,56824;29,6;4736
26,678941;29,7;4717
26,789642;29,8;4698
26,900343;29,9;4679
27,011044;30;4660
27,121745;30,1;4641
27,232446;30,2;4623
27,343147;30,3;4604
27,453848;30,4;4586
27,564549;30,5;4568
27,67525;30,6;4550
27,785951;30,7;4532
27,896652;30,8;4514
28,007353;30,9;4496
28,118054;31;4478
28,228755;31,1;4461
28,339456;31,2;4443
28,450157;31,3;4426
28,560858;31,4;4408
28,671559;31,5;4391
28,78226;31,6;4374
28,892961;31,7;4357
29,003662;31,8;4340
29,114363;31,9;4323
29,225064;32;4307
29,335765;32,1;4290
