ID;Name;Value;Default Value;Minumum;Maximum;Unit;Description
1;EM Pallet Conveyor: Speed Manual;50.0;50.0;20.0;200.0;[mm/s];-
2;EM Pallet Conveyor: Speed Go To Infeed;100.0;100.0;20.0;200.0;[mm/s];-
3;EM Pallet Conveyor: Speed Go To Centering;100.0;100.0;20.0;200.0;[mm/s];-
4;EM Pallet Conveyor: Speed Go To Docking;50.0;50.0;20.0;200.0;[mm/s];-
5;EM Pallet Conveyor: Distance To Infeed;1150.0;1150.0;100.0;2000.0;[mm];-
6;EM Pallet Conveyor: Distance To Centering;980.0;980.0;100.0;2000.0;[mm];-
7;EM Pallet Conveyor: Distance To Docking;250.0;250.0;100.0;2000.0;[mm];-
8;EM Pallet Conveyor: Distance Outer Door Check;500;500.0;100.0;2000.0;[mm];-
9;EM Pallet Conveyor: Travel Tollerance;1.2;1.2;1.0;2.0;[factor]; 1.2 = +20%
10;EM Pallet Conveyor: Centering Duration;3000.0;3000.0;0.0;10000.0;[ms];-
11;EM Pallet Conveyor: Timeout Centering To Center;3000.0;3000.0;0.0;10000.0;[ms];-
12;EM Pallet Conveyor: Timeout Centering To Idle;3000.0;3000.0;0.0;10000.0;[ms];-
13;EM Docking Interface: Timeout Docking Clamps;5000.0;5000.0;0.0;10000.0;[ms];-
14;EM Docking Interface: Timeout Unlocking Pins;5000.0;5000.0;0.0;10000.0;[ms];-
15;EM Docking Interface: Timeout Door Opener;5000.0;5000.0;0.0;10000.0;[ms];-
16;EM Docking Interface: Timeout Door Shutter;5000.0;5000.0;0.0;10000.0;[ms];-
17;EM Docking Interface: Compress Seal Duration;3000.0;3000.0;0.0;10000.0;[ms];-
18;EM Docking Interface: Delay Close Door Shutter Releasing Pins;3000.0;3000.0;0.0;10000.0;[ms];-
19;EM Docking Interface: Delay Release Unlocking Pins;3000.0;3000.0;0.0;10000.0;[ms];-
20;EM Docking Interface: Delay Open Door Shutter;3000.0;3000.0;0.0;10000.0;[ms];-
21;EM Docking Interface: Delay Open Door Opener;3000.0;3000.0;0.0;10000.0;[ms];-
22;EM Docking Interface: Delay Close Door Shutter;3000.0;3000.0;0.0;10000.0;[ms];-
23;EM Docking Interface: Delay Lock Unlocking Pins;3000.0;3000.0;0.0;10000.0;[ms];-
24;EM Docking Interface: Open Clamps After Closing Timeout;1.0;1.0;0.0;1.0;[Y/N];-
25;EM Docking Interface: Close Clamps After Each Other;1.0;1.0;0.0;1.0;[Y/N];-
